type,value,defanged,source,timestamp,context,first_seen,confidence
url,https://ift.tt/ryMBOE6,hxxps://ift[.]tt/ryMBOE6,https://t.me/ctinow/248136,2026-04-01T19:49:22+00:00,New EvilTokens service fuels Microsoft device code phishing attacks https://ift.tt/ryMBOE6,2026-04-28T05:19:40.319552Z,medium
url,https://ift.tt/NC3rwPa,hxxps://ift[.]tt/NC3rwPa,https://t.me/ctinow/247621,2026-03-23T21:59:14+00:00,Tycoon2FA phishing platform returns after recent police disruption https://ift.tt/NC3rwPa,2026-04-28T05:19:40.319557Z,medium
url,https://ift.tt/od6ckx2,hxxps://ift[.]tt/od6ckx2,https://t.me/ctinow/246616,2026-03-04T17:04:27+00:00,Europol-coordinated action disrupts Tycoon2FA phishing platform https://ift.tt/od6ckx2,2026-04-28T05:19:40.319562Z,medium
url,https://ift.tt/fWI4MsP,hxxps://ift[.]tt/fWI4MsP,https://t.me/ctinow/246615,2026-03-04T16:24:44+00:00,Inside Tycoon2FA: How a leading AiTM phishing kit operated at scale https://ift.tt/fWI4MsP,2026-04-28T05:19:40.319566Z,medium
url,https://ift.tt/gnDPxV9,hxxps://ift[.]tt/gnDPxV9,https://t.me/ctinow/243956,2026-01-07T15:09:35+00:00,Misconfigured email routing enables internal-spoofed phishing https://ift.tt/gnDPxV9,2026-04-28T05:19:40.319571Z,medium
url,https://ift.tt/XA9bikc,hxxps://ift[.]tt/XA9bikc,https://t.me/ctinow/233794,2025-04-14T09:34:25+00:00,Tycoon2FA phishing kit rolled out significant updates https://ift.tt/XA9bikc,2026-04-28T05:19:40.319575Z,medium
url,https://ift.tt/MmOva7S,hxxps://ift[.]tt/MmOva7S,https://t.me/ctinow/233764,2025-04-12T16:14:49+00:00,Tycoon2FA phishing kit targets Microsoft 365 with new tricks https://ift.tt/MmOva7S,2026-04-28T05:19:40.319579Z,medium
url,https://ift.tt/eglPD84,hxxps://ift[.]tt/eglPD84,https://t.me/ctinow/249417,2026-04-27T23:14:38+00:00,Robinhood account creation flaw abused to send phishing emails https://ift.tt/eglPD84,2026-04-28T05:19:40.319583Z,medium
url,https://ift.tt/jgwZRVB,hxxps://ift[.]tt/jgwZRVB,https://t.me/ctinow/249398,2026-04-27T14:09:28+00:00,researcher in spear-phishing campaign targeting NASA to steal defense software https://ift.tt/jgwZRVB,2026-04-28T05:19:40.319588Z,medium
url,https://ift.tt/bLTJsB7,hxxps://ift[.]tt/bLTJsB7,https://t.me/ctinow/249374,2026-04-27T09:54:07+00:00,? Here's A Fullproof Cybersecurity Checklist Every Indian Must Follow Right Now https://ift.tt/bLTJsB7,2026-04-28T05:19:40.319592Z,medium
