type,value,defanged,source,timestamp,context,first_seen,confidence
domain,on-sohu.com,on-sohu[.]com,https://x.com/40414/status/2038060624442441954,2026-03-29 01:08:12,IOC [domain]: on-sohu.com Tags: #phishing Shared by: @40414 Source tweet: https://x.com/40414/status/2038,2026-04-28T05:49:50.412111Z,medium
url,https://x.com/40414/status/2038060624442441954,hxxps://x[.]com/40414/status/2038060624442441954,https://x.com/40414/status/2038060624442441954,2026-03-29 01:08:12,IOC [domain]: on-sohu.com Tags: #phishing Shared by: @40414 Source tweet: https://x.com/40414/status/2038060624442441954,2026-04-28T05:49:50.412131Z,medium
url,https://on-sohu.com,hxxps://on-sohu[.]com,https://x.com/40414/status/2038060624442441954,2026-03-29 01:08:12,IOC [url]: https://on-sohu.com Tags: #phishing Shared by: @40414 Source tweet: https://x.com/40414/status/2038,2026-04-28T05:49:50.412145Z,medium
ipv4,34.122.137.206,34[.]122[.]137[.]206,https://x.com/40414/status/2038060624442441954,2026-03-29 01:08:12,IOC [ip]: 34.122.137.206 Tags: #phishing Shared by: @40414 Source tweet: https://x.com/40414/status/2038,2026-04-28T05:49:50.412154Z,medium
domain,telegramnco.com,telegramnco[.]com,https://x.com/PhishStats/status/2038084600870674647,2026-03-29 02:43:29,IOC [domain]: telegramnco.com Tags: #phishing Shared by: @PhishStats Source tweet: https://x.com/PhishStats/s,2026-04-28T05:49:50.412163Z,medium
url,https://x.com/PhishStats/status/2038084600870674647,hxxps://x[.]com/PhishStats/status/2038084600870674647,https://x.com/PhishStats/status/2038084600870674647,2026-03-29 02:43:29,[domain]: telegramnco.com Tags: #phishing Shared by: @PhishStats Source tweet: https://x.com/PhishStats/status/2038084600870674647,2026-04-28T05:49:50.412172Z,medium
url,http://telegramnco.com,hxxp://telegramnco[.]com,https://x.com/PhishStats/status/2038084600870674647,2026-03-29 02:43:29,IOC [url]: http://telegramnco.com Tags: #phishing Shared by: @PhishStats Source tweet: https://x.com/PhishStats/s,2026-04-28T05:49:50.412182Z,medium
ipv4,172.67.198.125,172[.]67[.]198[.]125,https://x.com/PhishStats/status/2038084600870674647,2026-03-29 02:43:29,IOC [ip]: 172.67.198.125 Tags: #phishing Shared by: @PhishStats Source tweet: https://x.com/PhishStats/s,2026-04-28T05:49:50.412190Z,medium
domain,globallinknext.com,globallinknext[.]com,https://x.com/PhishStats/status/2038220731259998504,2026-03-29 11:44:25,IOC [domain]: globallinknext.com Tags: #phishing Shared by: @PhishStats Source tweet: https://x.com/PhishStats/s,2026-04-28T05:49:50.412199Z,medium
url,https://x.com/PhishStats/status/2038220731259998504,hxxps://x[.]com/PhishStats/status/2038220731259998504,https://x.com/PhishStats/status/2038220731259998504,2026-03-29 11:44:25,omain]: globallinknext.com Tags: #phishing Shared by: @PhishStats Source tweet: https://x.com/PhishStats/status/2038220731259998504,2026-04-28T05:49:50.412207Z,medium
url,https://globallinknext.com/Rogue_cu/,hxxps://globallinknext[.]com/Rogue_cu/,https://x.com/PhishStats/status/2038220731259998504,2026-03-29 11:44:25,IOC [url]: https://globallinknext.com/Rogue_cu/ Tags: #phishing Shared by: @PhishStats Source tweet: https://x.com/PhishStats/s,2026-04-28T05:49:50.412217Z,medium
ipv4,130.250.213.69,130[.]250[.]213[.]69,https://x.com/PhishStats/status/2038220731259998504,2026-03-29 11:44:25,IOC [ip]: 130.250.213.69 Tags: #phishing Shared by: @PhishStats Source tweet: https://x.com/PhishStats/s,2026-04-28T05:49:50.412227Z,medium
domain,szds-media.cn,szds-media[.]cn,https://x.com/harugasumi/status/2038238874791813441,2026-03-29 12:56:31,IOC [domain]: szds-media.cn Tags: #phishing Shared by: @harugasumi Source tweet: https://x.com/harugasumi/s,2026-04-28T05:49:50.412235Z,medium
url,https://x.com/harugasumi/status/2038238874791813441,hxxps://x[.]com/harugasumi/status/2038238874791813441,https://x.com/harugasumi/status/2038238874791813441,2026-03-29 12:56:31,OC [domain]: szds-media.cn Tags: #phishing Shared by: @harugasumi Source tweet: https://x.com/harugasumi/status/2038238874791813441,2026-04-28T05:49:50.412243Z,medium
url,https://szds-media.cn/?ticket=cbzhzmvctn,hxxps://szds-media[.]cn/?ticket=cbzhzmvctn,https://x.com/harugasumi/status/2038238874791813441,2026-03-29 12:56:31,IOC [url]: https://szds-media.cn/?ticket=cbzhzmvctn Tags: #phishing Shared by: @harugasumi Source tweet: https://x.com/harugasumi/s,2026-04-28T05:49:50.412253Z,medium
domain,cxcdgl.cn,cxcdgl[.]cn,https://x.com/harugasumi/status/2038238874791813441,2026-03-29 12:56:31,IOC [domain]: cxcdgl.cn Tags: #phishing Shared by: @harugasumi Source tweet: https://x.com/harugasumi/s,2026-04-28T05:49:50.412262Z,medium
url,https://cxcdgl.cn,hxxps://cxcdgl[.]cn,https://x.com/harugasumi/status/2038238874791813441,2026-03-29 12:56:31,IOC [url]: https://cxcdgl.cn Tags: #phishing Shared by: @harugasumi Source tweet: https://x.com/harugasumi/s,2026-04-28T05:49:50.412270Z,medium
domain,phwtbx.cn,phwtbx[.]cn,https://x.com/harugasumi/status/2038238874791813441,2026-03-29 12:56:31,IOC [domain]: phwtbx.cn Tags: #phishing Shared by: @harugasumi Source tweet: https://x.com/harugasumi/s,2026-04-28T05:49:50.412278Z,medium
url,https://phwtbx.cn/a1/g2/das=letiantiaos/,hxxps://phwtbx[.]cn/a1/g2/das=letiantiaos/,https://x.com/harugasumi/status/2038238874791813441,2026-03-29 12:56:31,IOC [url]: https://phwtbx.cn/a1/g2/das=letiantiaos/ Tags: #phishing Shared by: @harugasumi Source tweet: https://x.com/harugasumi/s,2026-04-28T05:49:50.412286Z,medium
