type,value,defanged,source,timestamp,context,first_seen,confidence
domain,socket.dev,socket[.]dev,https://nitter.net/SocketSecurity/status/2048075097324577156#m,2026-04-25T16:22:09Z,rt for packages that are associated with these repositories. More info here: ⭐️ socket.dev/blog/3-7-million-… ⭐️ socket.dev/changelog/new-ale… ⭐️ awesomeagents.ai/news/gi,2026-04-28T05:09:28.766883Z,medium
url,https://nitter.net/GergelyOrosz/status/2044153474410029475#m,hxxps://nitter[.]net/GergelyOrosz/status/2044153474410029475#m,https://nitter.net/SocketSecurity/status/2048075097324577156#m,2026-04-25T16:22:09Z,"e had custom tools to rank organic vs paid GH stars 18 months back, easily... — https://nitter.net/GergelyOrosz/status/2044153474410029475#m",2026-04-28T05:09:28.766894Z,medium
url,https://nitter.net/sarahgooding/status/2047354855614742535#m,hxxps://nitter[.]net/sarahgooding/status/2047354855614742535#m,https://nitter.net/feross/status/2047411453783941574#m,2026-04-23T20:25:04Z,"access to infrastructure, so keep your eyes open this week. This is life now. — https://nitter.net/sarahgooding/status/2047354855614742535#m",2026-04-28T05:09:28.766902Z,medium
domain,community.bitwarden.com,community[.]bitwarden[.]com,https://nitter.net/feross/status/2047410651417731425#m,2026-04-23T20:21:53Z,were compromised or at-risk. Additional details and updates are available here: community.bitwarden.com/t/bi… — https://nitter.net/Bitwarden/status/2047348108128866438#m,2026-04-28T05:09:28.766909Z,medium
url,https://nitter.net/Bitwarden/status/2047348108128866438#m,hxxps://nitter[.]net/Bitwarden/status/2047348108128866438#m,https://nitter.net/feross/status/2047410651417731425#m,2026-04-23T20:21:53Z,itional details and updates are available here: community.bitwarden.com/t/bi… — https://nitter.net/Bitwarden/status/2047348108128866438#m,2026-04-28T05:09:28.766915Z,medium
url,https://nitter.net/SocketSecurity/status/2047304112560115930#m,hxxps://nitter[.]net/SocketSecurity/status/2047304112560115930#m,https://nitter.net/feross/status/2047409580683198595#m,2026-04-23T20:17:37Z,ing our coverage as more details are confirmed. socket.dev/blog/bitwarden-cl… — https://nitter.net/SocketSecurity/status/2047304112560115930#m,2026-04-28T05:09:28.766921Z,medium
domain,thehackernews.com,thehackernews[.]com,https://nitter.net/TheHackersNews/status/2047354534838861835#m,2026-04-23T16:38:53Z,"tHub Action, and VS Code extensions. 🔗 Affected versions and required actions → thehackernews.com/2026/04/ma… Users are urged to block malicious domains and rotate secrets. The",2026-04-28T05:09:28.766926Z,medium
url,https://nitter.net/TheHackersNews/status/2047012046227780090#m,hxxps://nitter[.]net/TheHackersNews/status/2047012046227780090#m,https://nitter.net/TheHackersNews/status/2047354534838861835#m,2026-04-23T16:38:53Z,ons also ran unverified remote code. 🔗Details → thehackernews.com/2026/04/ma… — https://nitter.net/TheHackersNews/status/2047012046227780090#m,2026-04-28T05:09:28.766933Z,medium
url,https://nitter.net/feross/status/2047307111378354367#m,hxxps://nitter[.]net/feross/status/2047307111378354367#m,https://nitter.net/sarahgooding/status/2047354855614742535#m,2026-04-23T16:40:10Z,update this post as more details are confirmed. socket.dev/blog/bitwarden-cl… — https://nitter.net/feross/status/2047307111378354367#m,2026-04-28T05:09:28.766939Z,medium
url,https://ift.tt/L2QX0Fq,hxxps://ift[.]tt/L2QX0Fq,https://t.me/ctinow/248489,2026-04-08T17:19:20+00:00,"6780, and CISA KEV Deadline Arrives with No Standalone Advisory, (Wed, Apr 8th) https://ift.tt/L2QX0Fq",2026-04-28T05:09:28.766944Z,medium
url,https://ift.tt/2v9w4Dn,hxxps://ift[.]tt/2v9w4Dn,https://t.me/ctinow/248282,2026-04-04T10:39:44+00:00,European Commission Confirms Data Breach Linked to Trivy Supply Chain Attack https://ift.tt/2v9w4Dn,2026-04-28T05:09:28.766949Z,medium
url,https://ift.tt/8LjNRSo,hxxps://ift[.]tt/8LjNRSo,https://t.me/ctinow/248049,2026-03-31T17:59:23+00:00,Cisco source code stolen in Trivy-linked dev environment breach https://ift.tt/8LjNRSo,2026-04-28T05:09:28.766953Z,medium
url,https://ift.tt/NLsOdzC,hxxps://ift[.]tt/NLsOdzC,https://t.me/ctinow/247855,2026-03-27T10:49:24+00:00,adds an Aquasecurity Trivy flaw to its Known Exploited Vulnerabilities catalog https://ift.tt/NLsOdzC,2026-04-28T05:09:28.766957Z,medium
